id,premise,hypothesis,lang_abv,language,label
17c1f14619,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,en,English,1
f5f4dc48c1,Savonarola burned in Florence,Florence became Savonarola's new home.,en,English,2
6a98a077a5,"It will be COLOSSAL!""",It will be gigantic.,en,English,0
00c0cdf348,Colder and farther than ever has developed the voice of the lord.,God's voice feels so distant and cold,vi,Vietnamese,0
8b8a91643a,27 The difficulty increases as the need for boiler modifications to be made to adapt the SCR to the installation also increases.,27 The difficulty depends on the modifications.,es,Spanish,0
655cc51991,He says men are here.,He said that the men were not here. ,en,English,2
a2a8b36437,"Consequently, government decision-makers and supervisors adopt new ways of thinking, considering different ways of achieving goals and using new information to guide decisions.",Government representatives refuse to change their way of life.,el,Greek,2
ca2570d90c,Such boats were designed to allow access for arriving ships.,Boats were introduced to make it easier to catch incoming ships.,sw,Swahili,0
89fdd6de05,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",en,English,0
fc9b9e81ec,"I have never understood why the international writing of the national phone number is not used in all kinds of English dictionaries, but this is beyond the scope of our words in this review.",This review is small in scope so it does not discuss why International Symposium Writing is not used in English dictionaries.,sw,Swahili,0
aa6feee06e,"The dispute, the management is now pointing to these food stamps, and of course it can also turn to the basic welfare - TANF.",The government hasn't said anything about food stamps or benefits.,zh,Chinese,2
14fa262750,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,en,English,0
7e89da4ba3,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,en,English,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,en,English,2
8540c11e37,"Social Security does not contain any established programs exclusively or primarily for federal employees, such as: pension and other retirement plans.",Social security plans do not include a plan for federal employees only.,de,German,0
1589ccaac1,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,en,English,2
8289cdfc7d,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,en,English,2
b277ab420e,look at a girl in a white fur parka with boots,The girl is dressed all in red.,fr,French,2
792afbd06a,The most legendary feature of the building is related to the cave arms.,There are many weather vanes in the building.,ur,Urdu,1
43b978ef75,Others do not make the consumer happy enough.,Others are sufficient.,tr,Turkish,2
80001fec89,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,en,English,0
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
d4dd5ba80d,My brain refusing to command properly.,My brain was not commanding properly.,en,English,0
ad4b9214af," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,en,English,0
126018a551,"He looked up in astonishment, and then sat down fuming with her brooding glance.",She was braver than he expected.,hi,Hindi,1
097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,en,English,0
b0c2761b43,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",en,English,0
61f15fd66d,"On May 1, we will close membership renewal elections for 1991 contributors.",There is a chance for 1500 members to renew their membership.,sw,Swahili,1
12840a5edd,TV dinners bring a bad stain.,The people on TV only eat breakfast and lunch.,zh,Chinese,2
714a367262,"The inability to communicate was a critical element at the World Trade Center, Pentagon and Somerset County, Pennsylvania crash sites, where multiple agencies and multiple jurisdictions responded.",It was difficult for people in the World Trade Center to communicate.,de,German,0
37c01740c6,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. ,en,English,1
3d3149ec45,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.,en,English,2
6c12f1e611,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",en,English,2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. ,en,English,1
71bcd59dd6,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. ,en,English,1
aab0894630,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",en,English,1
bda3f7467b,"Properly implemented, this approach provides reasonable assurance that a trip has occurred.",Approach shows you the journey that has taken place.,fr,French,0
7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,en,English,2
e5c40e04ec,But it may be the blood of reason now.,A country has quickly come to a conclusion about its position.,ar,Arabic,0
c69352547f,One zip code can be used by multiple routes.,Each zip code is served by only one route.,de,German,2
cc18ec8d15,"Well, I'm in Texas and we have a teacher who died of AIDS",I have never been to Texas.,ar,Arabic,2
05ab8a9326,The spirit of liberalism prevailing in Europe did not reach Spain until late.,Spain has never been liberal.,ar,Arabic,2
24444bd5df,"Left to its own devices, this reaction is exergonic, and in the presence of an excess of trimers, relative to the equilibrium ratio of hexamer to trimers, will proceed exergonically toward equilibrium by synthesizing the hexamer.","If this reaction is untouched, it will eventually reach equilibrium.",bg,Bulgarian,0
e390988e6f,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",en,English,1
9e42108ae0,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,en,English,1
26ef4fcb0c,"The complexity of the subjunctive in French does not bother him the least in the world, for the good and simple reason that he does not try to use it.",He doesn't try because he has no motivation.,fr,French,1
7fa1543ed0,Will the White House change its mind?,Will the White House change its mind?,fr,French,0
2b2010a718,"With the easiest assimilation into the Anglo community, only Protestant schools accepted their children Eastern European Jews have graduated from wealthy Westmount or immigrated back to Toronto.",Jews were more easily integrated into the English community.,el,Greek,0
4acead92d8,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,en,English,0
12127455a8,"And how much better are these? - Are you afraid of the clumsy Barbados planter? What's bothering you, Peter? I've never seen you scared before. A shot rang out behind them.",I've never seen Peter be afraid of anything.,ru,Russian,0
89467c0148,"The word self-pathological, the word normal rather than the legal word, is a trouble maker and should be avoided.",Self-satisfaction is not a problem.,ar,Arabic,2
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,en,English,2
de5351757f,"On the other hand, in the Cite de la Musique is the Musee de la Musique and its gigantic concert hall, Zenith.",Cenine is a large concert hall.,th,Thai,0
11788e6295,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,en,English,2
5aabaf3da7,Hope to hear from you soon.,Never speak to me again!,bg,Bulgarian,2
75cbac107c,"Hey, no problem, a fine policy.","No worries, a good policy.",en,English,0
bbd3930178,"This is Fannie Flono, she grew up in Ag--Augusta, GA and is going to share some memories from her childhood.","Despite her busy schedule, Fannie Flono was able to speak to us today.",de,German,1
5b09f9eabb,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,en,English,2
97ca4170dd,"My hero, however, is Richard Hazeltine, chairman of the Overseas Investment Trust, who resigned earlier this month in disagreement with the business plan imposed by his superiors.",Hazeltine quit his job.,bg,Bulgarian,0
c5c2c039e5,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,en,English,0
b02c0e148c,This is no secret to music retailers.,Music retailers are completely in the dark about this.,hi,Hindi,2
604b64ca7f,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,en,English,1
e66e2e370a,Stevenson's article shows a fundamental lack of understanding of what our campaign entails.,"Although Stevenson has traveled with us on the campaign, his article makes it clear that he wasn't paying attention to what the campaign is about, even at the most basic level.",es,Spanish,1
716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? ",en,English,0
5de2aa81ed,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. ,en,English,0
6e108e3994,myself and i like some of their songs but since i agree as a general rule i wouldn't choose rap either,I'm not a rap fan but I like some of the songs they have.,de,German,0
f0e86993ca,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,en,English,2
aae865505c,Newsweek says tourists and celebrities flock to Patagonia. which was once a safe haven for fugitive Nazis.,New hotels have been built in Patagonia to accommodate tourists.,th,Thai,1
b3c705a914,"To their good fortune, he's proving them right.",He is showing that they were correct.,en,English,0
99b71d209e,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,en,English,1
dd63e67222,oh i see the vibe here,i don't like this style,zh,Chinese,0
fc0a6ac2f5,"Its official name was Flavian Amphitheater, after the surname of its builder, Emperor Vespasian.",No one knows how the Pozzuoli amphitheater got its name.,de,German,2
6211b5072d,He was at the height of the Cuban Missile Crisis and Kaiser got the photos and headed to Andrews Air Force Base in Washington.,Only one person was killed in the Cuban Missile Crisis,sw,Swahili,1
8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,en,English,2
3c2e8a360d,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,en,English,1
b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,en,English,0
7cc9bb38f9,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,en,English,0
a8bcd9ccf7,uh high humidity,Air with increased water content.,en,English,0
6c2527b960,"In the case of US 11, the last normal communication from the plane was at 8:13 am.",There has not been any communication from American 11.,vi,Vietnamese,2
80f6ac92a4,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,en,English,2
eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,en,English,0
e7ad6c38fc,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,en,English,2
ca2f6459bd,Is there adequate information for judging generalizability?,Output information is way too much generalized.,en,English,1
212fc2ad66,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,en,English,1
df8998b7a7,"Well, my grandparents were always very, very loving, and so were my parents, and we had a great time down there.",My grandparents were a very loving couple.,zh,Chinese,0
d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,en,English,2
a38659ed31,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,en,English,2
ceedd25541,"If anyone had the 1984 edition, he would probably resent having to buy the book rather than a smaller (and less expensive) copy.",The surcharge is cheaper than the book.,vi,Vietnamese,0
73fff19324,I told them it was from my sister.,I blamed my sister.,es,Spanish,0
8f448b8aa5,"Ajaj had entered the United States on a B-2 tourist visa in New York City on September 9, 1991.",Ajaj was on a tourist visa when he went to the United States.,es,Spanish,0
a49ecd3734,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,en,English,1
952a08b1f3,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. ,en,English,2
8a4a9c16be,In 2003 these codes were cancelled; now all questions relating to international terrorism receive one code - 315.,All issues related to terrorism receive the highest priority.,ru,Russian,1
73dce915f0,Notices to the opposition lawyer and to the court or administrative agency should be sent.,Opposing counsel and the court expect to receive legal advice.,fr,French,1
e1e92f6499,"President Kennedy tells the pilots: Gentlemen, take good pictures.",Kennedy did not recognize them.,el,Greek,2
4c7b129507,"what is We have about an acre, yes it's weird because we have","It's no joke, we only have one square foot of land.",ur,Urdu,2
ef98cc7a44,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,en,English,1
247c31cc1f,"Therefore, I know you go to great lengths to be compassionate and care for others.",I know you just don't care about people at all.,el,Greek,2
2fa7d36591,"First Wives Club, a revenge comedy about three jilted wives, earned the most in its opening weekend of any female-led film in history.",The actors and acting contributed more than the plot to the First Wives Club box office record.,el,Greek,1
ee747eb8ca,"In fact, the word quark in the Oxford Dictionary as a verb means 'to pessimise', with 19th century references referring to frogs, crows, and the grouchy king.",Most people don't know the origin of the word quark and that it refers to the noise a frog makes.,ar,Arabic,1
dd883e1f46,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,en,English,2
ab87e8abac,uh how do you think the Colorado Springs newspaper serves local interests,Do you think local newspapers are not interested in what citizens have to say?,de,German,1
640c0172a6,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,en,English,1
c4e8713899,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,en,English,0
c776773683,We are so accustomed to hearing American companies complain about foreign competition that the accusations made by Kodak after its defeat are taken as just another whining.,American companies are responding to foreign competition.,ru,Russian,0
a14e13370f,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,en,English,0
39d065817a,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,en,English,2
101dc2c1bb,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources ",en,English,0
b645ab43a4,"Dubai is a modern city with easy access to major airports, travel agencies, hotels and Western business establishments, making it an ideal stopover.",Dubai is the first choice for transit.,zh,Chinese,1
7df831c8e2,we will make the goal.,We will fall very close to the target.,el,Greek,2
0c338feb50,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.,en,English,1
617f1dc5f2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,en,English,2
8adeb402ee,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. ",en,English,1
162467ddeb,"To be sure, the FDNY is not responsible for managing the City's response to the emergency, as the Mayor's directive has required.",Management of the City's response was handled by an organization other than the FDNY.,vi,Vietnamese,0
6595e3320d,"While the numbers are impressive, scholarships are often important in recruiting top students with financial need.",We do not give scholarships or financial aid to students.,el,Greek,2
a7a2a9fc5e,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent. ,en,English,1
e7bc15b1b9,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.,en,English,1
f50208a07e,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,en,English,0
00ddb7aea4,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,en,English,2
b0ee325483,Finally the woman opened her eyes feebly.,She opened her eyes. ,en,English,0
b332076fc2,"Of course, it is a rather radical idea to assume quantum uncertainty in the law, but it does not seem impossible.",Some who argue that there is quantum uncertainty in the law may be radicals.,zh,Chinese,1
a5484dd197,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,en,English,0
d68455eccf,"This week's inspiration offers Ken Starr's report on the great star of love, including romance in the presidential limo, the Oval Office and even the liner beddom!",The questioner knew about the White House,ur,Urdu,0
34cd54592e,when the sand formed The sand also entered a stable corner. then expands to the edge of the table,The sand was scooped by a bulldozer.,th,Thai,1
0393073e4a,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,en,English,0
09b8ecb23f,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,en,English,1
a9ee3935c9,"Built in 688-691 AD, it is decorated with thousands of exquisite, mostly blue and yellow, Persian ceramic tiles, with Quranic scriptures on the tops.",The walls have 100000 tiles on them.,el,Greek,1
0477c22e6d,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,en,English,0
3074381515,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.  ,en,English,0
fc11d4b8cb,"Ogle, he said in a voice as cold and sharp as steel, your station is on the gun deck.",Ogle is always at the gun station.,el,Greek,1
489847e94d,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. ,en,English,0
a235cb04e1,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see.",en,English,2
772391afdf,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.,en,English,1
e90c9dda0f,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,en,English,0
9f89cd56c7,"Relajo can also describe a joking relationship, a mysterious back-and-forth that with laughter relieves the tension and erases the cause of the momentary tension.",Relajo jokes about the economy.,bg,Bulgarian,1
8c3a69f486,You have to walk through it).,You can stay where you are.,en,English,2
836766ea05,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.,en,English,1
ee546513c1,well damn! Maybe you will explain yourself? Where has Woverstone gone?,I want you to explain yourself! I know you know where Wolverstone is.,hi,Hindi,1
ba01e23d88,"As a proud South African, I feel that the main reason for this is the lack of linguistic ambition found in the home states.",Regional language is possible due to the lack of desire for language.,sw,Swahili,0
648feccb3d,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",en,English,0
b23bdc1a30,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,en,English,0
bf6fb470ee,"Linguists who write books, apparently, always impose their point of view, sometimes, to put it mildly, obscure.",Most linguists write books to advance the opinions of others.,ru,Russian,2
b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,en,English,2
44bad2a664,"Be of good cheer,","Be of good cheer, for beer time is near.",en,English,1
5594f92e61,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.,en,English,2
970707c7f5,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.,en,English,1
3fa01b03f8,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,en,English,2
2c9359d401,It wouldn't explode without the detonator.,The trigger causes it to expose.,fr,French,0
0bc8210460,There are certain categories of control activities that are common to all agencies.,Control activities such as safe business practices are universally common across all agencies.,en,English,1
cfcc3db071,Wander the floors and talk to the actors playing the roles of sailors and wayfarers.,Actors are paid ten dollars a day to pretend to be pilgrims.,el,Greek,1
d37166ccce,"More than 100 judges, lawyers and dignitaries were present for the gathering.",Only two people showed up for the gathering.,en,English,2
1575809c3c,He had forgotten about Adrin.,He remembered Adrin all this time.,en,English,2
db6d9923f3,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",en,English,0
1e9caaf93c,The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,en,English,0
9d597f75c9,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",en,English,0
1e0cc288b1,"But they lived in a small town called Evans just outside of Augusta, where Evans still lives, and where many of my relatives still live.",Twenty of their family members live in Evans.,zh,Chinese,1
9deab91b98,The detainee dates the meeting with Slahi to October 1999.,The meeting took place in December 1998.,ru,Russian,2
8d7f3793e5,"They said they were taken to prison, Jeremy said quietly",Jeremy aik saundari dakoo tha apni pori zindagi.,ur,Urdu,1
56d48aa27a,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).",George Clooney will lose his job because the producers don't think he can act. ,en,English,2
fd0d3579c4,"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,en,English,0
e21db52eb1,yeah because those things i think would just snap you know,Because they would survive easily.,en,English,2
f9f20650aa,We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,en,English,0
6960d6ed8a,"This thing cannot be said for the New York Times. In its op-ed on the cocaine controversy, the Times advised Bush to be honest and to help the country recover.",The Times said that Bush should simply lie to everyone.,hi,Hindi,2
85cc0bfc3d,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","People in America are very well informed on controversial topics, according to Fiss.",en,English,2
9752c3f911,Time spent with parents and children together is the first step toward implementing the ideas and practices that I will discuss in this book.,"In this book, I will cover topics that parents and their children can work on while spending time together.",vi,Vietnamese,0
e1cfb4f6e6,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is not near a stream.,en,English,2
13b2d2328b,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,He would mow your entire yard in eight minutes if he was using a power mower.,en,English,1
8d360ce050,"Advances in Aviation Are Made, but Long-Term Caution is Required.",Budgets must be increased overall for optimal results.,el,Greek,1
dc5c4be838,um-hum yeah i saw that for the first time yesterday in the evening,I was very impressed when I saw that yesterday.,en,English,1
12d5e4b5de,He told me exactly what he needed and that he needed it today.,He said I could submit it anytime.,el,Greek,2
0ef9524ce7,"Bauerstein.""",Alfred Inglethorp,en,English,2
5bb743d827,Museums were not established on lists or labels,The museum does not like to be written.,sw,Swahili,1
0cc7c4de1b,What have we for lunch? ,What are we going to eat for lunch?,en,English,0
840da92d5e,A poll of Hong Kong residents finds them sanguine about the city's future.,A poll of Hong Kong residents finds them more sanguine about the city's future than before. ,en,English,1
1b1f7455ef,"Nearly 100,000 people come here every day to admire the stunning architecture and discover the latest attractions in this ever-changing city.",There is no developed tourism industry in this city.,zh,Chinese,2
0fba15690f,There are two evolutionary advantages to the average appearance.,It helps to look normal because people leave you alone.,ar,Arabic,1
e0bec36772,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston and I grew up in Dallas.,en,English,1
fb3122d537,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,en,English,0
2eca16560f,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,You can see the way that their whole demeanor has changed.,en,English,1
bb14b19517,Can I help you?',I'm not helping you at all.,en,English,2
ee4804f903,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels don't open in Halloween.,en,English,1
a080e008b4,medical and surgical expense coverage.,Medical and surgical expenses were fully covered,en,English,1
